"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.800,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.8,1143731.70283317,1948087.17874291,2667210.24350512,1582262.71624305,2190137.67770186
Fmult(2017) = 0.810,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.81,1153712.44315773,1945530.60261177,2667210.24350512,1573657.17355668,2181672.51909299
Fmult(2017) = 0.820,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.82,1163613.21992303,1942978.29997462,2667210.24350512,1565133.03875712,2173276.36251435
Fmult(2017) = 0.830,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.83,1173434.80744352,1940430.26317389,2667210.24350512,1556689.38175008,2164948.52827157
Fmult(2017) = 0.840,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.84,1183177.97209626,1937886.48456611,2667210.24350512,1548325.28371131,2156688.3437201
Fmult(2017) = 0.850,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.85,1192843.47240456,1935346.95652189,2667210.24350512,1540039.83694657,2148495.14319039
Fmult(2017) = 0.860,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.86,1202432.05912061,1932811.67142586,2667210.24350512,1531832.14475324,2140368.26791381
Fmult(2017) = 0.870,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.87,1211944.4753073,1930280.62167667,2667210.24350512,1523701.32128384,2132307.06594945
Fmult(2017) = 0.880,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.88,1221381.45641917,1927753.79968695,2667210.24350512,1515646.49141116,2124310.89211165
Fmult(2017) = 0.890,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.89,1230743.73038247,1925231.19788331,2667210.24350512,1507666.79059517,2116379.10789832
Fmult(2017) = 0.900,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.9,1240032.0176743,1922712.80870626,2667210.24350512,1499761.36475149,2108511.08142004
Fmult(2017) = 0.910,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.91,1249247.03140106,1920198.62461025,2667210.24350512,1491929.37012167,2100706.18732997
Fmult(2017) = 0.920,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.92,1258389.47737589,1917688.6380636,2667210.24350512,1484169.973145,2092963.8067544
Fmult(2017) = 0.930,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.93,1267460.05419539,1915182.84154849,2667210.24350512,1476482.35033196,2085283.32722418
Fmult(2017) = 0.940,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.94,1276459.45331546,1912681.22756092,2667210.24350512,1468865.6881393,2077664.14260678
Fmult(2017) = 0.950,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.95,1285388.35912639,1910183.7886107,2667210.24350512,1461319.18284663,2070105.65303916
Fmult(2017) = 0.960,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.96,1294247.44902709,1907690.51722142,2667210.24350512,1453842.04043466,2062607.26486132
Fmult(2017) = 0.970,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.97,1303037.39349853,1905201.40593043,2667210.24350512,1446433.47646484,2055168.39055057
Fmult(2017) = 0.980,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.98,1311758.85617643,1902716.4472888,2667210.24350512,1439092.71596067,2047788.44865653
Fmult(2017) = 0.990,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.99,1320412.49392315,1900235.63386129,2667210.24350512,1431818.99329039,2040466.86373678
Fmult(2017) = 1.000,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1,1328998.95689879,1897758.95822636,2667210.24350512,1424611.55205116,2033203.06629328
Fmult(2017) = 1.010,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.01,1337518.88863159,1895286.4129761,2667210.24350512,1417469.6449548,2025996.4927094
Fmult(2017) = 1.020,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.02,1345972.92608753,1892817.99071623,2667210.24350512,1410392.53371483,2018846.58518766
Fmult(2017) = 1.030,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.03,1354361.69973915,1890353.68406609,2667210.24350512,1403379.48893503,2011752.79168816
Fmult(2017) = 1.040,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.04,1362685.83363376,1887893.48565856,2667210.24350512,1396429.78999933,2004714.5658676
Fmult(2017) = 1.050,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.05,1370945.94546077,1885437.38814009,2667210.24350512,1389542.72496317,1997731.36701906
Fmult(2017) = 1.060,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.06,1379142.64661842,1882985.38417064,2667210.24350512,1382717.59044618,1990802.66001234
Fmult(2017) = 1.070,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.07,1387276.54227971,1880537.4664237,2667210.24350512,1375953.69152616,1983927.91523499
Fmult(2017) = 1.080,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.08,1395348.23145772,1878093.62758618,2667210.24350512,1369250.3416345,1977106.60853394
Fmult(2017) = 1.090,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.09,1403358.3070701,1875653.86035848,2667210.24350512,1362606.86245284,1970338.22115779
Fmult(2017) = 1.100,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.1,1411307.35600301,1873218.15745441,2667210.24350512,1356022.58381106,1963622.23969969
Fmult(2017) = 1.110,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.11,1419195.95917432,1870786.51160118,2667210.24350512,1349496.84358653,1956958.15604087
Fmult(2017) = 1.120,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.12,1427024.69159607,1868358.91553936,2667210.24350512,1343028.98760465,1950345.46729475
Fmult(2017) = 1.130,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.13,1434794.12243638,1865935.36202289,2667210.24350512,1336618.36954064,1943783.67575163
Fmult(2017) = 1.140,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.14,1442504.81508062,1863515.843819,2667210.24350512,1330264.35082252,1937272.28882405
Fmult(2017) = 1.150,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.15,1450157.32719197,1861100.35370825,2667210.24350512,1323966.30053539,1930810.81899263
Fmult(2017) = 1.160,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.16,1457752.21077127,1858688.88448446,2667210.24350512,1317723.59532685,1924398.78375259
Fmult(2017) = 1.170,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.17,1465290.01221635,1856281.42895469,2667210.24350512,1311535.61931361,1918035.70556079
Fmult(2017) = 1.180,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.18,1472771.27238056,1853877.97993924,2667210.24350512,1305401.7639893,1911721.11178335
Fmult(2017) = 1.190,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.19,1480196.52663087,1851478.53027158,2667210.24350512,1299321.42813343,1905454.53464384
Fmult(2017) = 1.200,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.2,1487566.30490515,1849083.0727984,2667210.24350512,1293294.0177215,1899235.51117201
Fmult(2017) = 1.210,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.21,1494881.13176903,1846691.60037949,2667210.24350512,1287318.94583618,1893063.58315307
Fmult(2017) = 1.220,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.22,1502141.52647198,1844304.1058878,2667210.24350512,1281395.63257973,1886938.29707757
Fmult(2017) = 1.230,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.23,1509348.00300295,1841920.58220936,2667210.24350512,1275523.50498738,1880859.2040917
Fmult(2017) = 1.240,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.24,1516501.07014528,1839541.02224329,2667210.24350512,1269701.99694187,1874825.85994828
Fmult(2017) = 1.250,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,1.25,1523601.23153113,1837165.41890174,2667210.24350512,1263930.54908908,1868837.82495811
